date,week,day,snf,playoffs,rest,o:rest,division,o:division,conference,o:conference,team,P1,P2,P3,P4,o:team,o:P1,o:P2,o:P3,o:P4,line,total,1h diff,2h diff,1h total,2h total,div,con,d_rest
20151101,8,Sunday,0,0,13,6,NFC North,NFC North,NFC,NFC,Bears,3,7,3,7,Vikings,7,3,0,13,1.5,43,0,3,20,23,1,1,7
20151101,8,Sunday,1,0,13,13,AFC West,NFC North,AFC,NFC,Broncos,7,10,7,5,Packers,0,7,3,0,2.5,46.5,-10,-9,24,15,0,0,0
20151101,8,Sunday,0,0,6,5,AFC North,NFC West,AFC,NFC,Browns,7,13,0,0,Cardinals,7,3,14,10,6.5,46.5,-10,24,30,24,0,0,1
20151101,8,Sunday,0,0,6,9,NFC East,NFC West,NFC,NFC,Cowboys,3,3,3,3,Seahawks,3,7,0,3,4.5,41.5,4,-3,16,9,0,1,-3
20151101,8,Sunday,0,0,6,6,NFC South,NFC South,NFC,NFC,Falcons,3,0,7,10,Buccaneers,3,10,7,0,-7,48.5,10,-10,16,24,1,1,0
20151101,8,Sunday,0,0,6,6,AFC West,AFC East,AFC,AFC,Raiders,7,14,10,3,Jets,3,3,7,7,2.5,44,-15,1,27,27,0,1,0
20151101,8,Sunday,0,0,6,9,NFC West,NFC West,NFC,NFC,Rams,2,18,0,7,Fortyniners,3,3,0,0,-8,40.5,-14,-7,26,7,1,1,-3
20151101,8,Sunday,0,0,5,6,AFC North,AFC West,AFC,AFC,Ravens,6,7,6,10,Chargers,3,13,7,3,-3.5,50.5,3,-6,29,26,0,1,-1
20151101,8,Sunday,0,0,6,6,NFC South,NFC East,NFC,NFC,Saints,14,14,14,10,Giants,7,14,7,21,-3,50,-7,4,49,52,0,1,0
20151101,8,Sunday,0,0,6,13,AFC North,AFC North,AFC,AFC,Steelers,7,0,3,0,Bengals,3,3,0,10,0,48.5,-1,7,13,13,1,1,-7
20151101,8,Sunday,0,0,6,6,AFC South,AFC South,AFC,AFC,Texans,0,10,7,3,Titans,3,0,3,0,-4,42.5,-7,-7,13,13,1,1,0
20151102,8,Monday,0,0,7,7,NFC South,AFC South,NFC,AFC,Panthers,10,0,7,6,Colts,0,6,0,17,-5.5,46,-4,4,16,30,0,0,0
20151105,9,Thursday,0,0,3,3,AFC North,AFC North,AFC,AFC,Bengals,7,7,3,14,Browns,3,7,0,0,-12,45.5,-4,-17,24,17,1,1,0
20151108,9,Sunday,0,0,13,9,AFC East,AFC East,AFC,AFC,Bills,9,10,7,7,Dolphins,0,7,7,3,-4,44,-12,-4,26,24,1,1,4
20151108,9,Sunday,0,0,6,6,NFC South,NFC East,NFC,NFC,Buccaneers,6,3,3,6,Giants,10,7,3,12,2,49,8,6,26,24,0,1,0
20151108,9,Sunday,0,0,5,6,AFC South,AFC West,AFC,AFC,Colts,7,10,0,10,Broncos,0,7,10,7,4,46,-10,7,24,27,0,1,-1
20151108,9,Sunday,1,0,6,13,NFC East,NFC East,NFC,NFC,Cowboys,7,0,7,13,Eagles,0,7,7,13,3,43.5,0,0,14,40,1,1,-7
20151108,9,Sunday,0,0,6,6,NFC West,NFC South,NFC,NFC,Fortyniners,0,17,0,0,Falcons,3,10,0,3,7.5,43.5,-4,3,30,3,0,1,0
20151108,9,Sunday,0,0,6,13,AFC East,AFC South,AFC,AFC,Jets,14,0,7,7,Jaguars,3,7,3,10,-7.5,42,-4,-1,24,27,0,1,-7
20151108,9,Sunday,0,0,5,6,NFC South,NFC North,NFC,NFC,Panthers,3,24,3,7,Packers,7,0,7,15,2.5,46,-20,12,34,32,0,1,-1
20151108,9,Sunday,0,0,9,13,AFC East,NFC East,AFC,NFC,Patriots,14,3,3,7,Redskins,0,3,0,7,-14,51.5,-14,-3,20,17,0,0,-4
20151108,9,Sunday,0,0,6,6,NFC South,AFC South,NFC,AFC,Saints,14,7,0,7,Titans,10,7,3,8,-7,50,-4,4,38,18,0,0,0
20151108,9,Sunday,0,0,6,6,AFC North,AFC West,AFC,AFC,Steelers,3,18,0,17,Raiders,7,7,7,14,-6,48,-7,4,35,38,0,1,0
20151108,9,Sunday,0,0,6,6,NFC North,NFC West,NFC,NFC,Vikings,10,0,8,0,Rams,6,9,0,3,-2,40,5,-5,25,11,0,1,0
20151109,9,Monday,0,0,7,7,AFC West,NFC North,AFC,NFC,Chargers,7,9,0,3,Bears,0,7,0,15,-4,50,-9,12,23,18,0,0,0
20151112,10,Thursday,0,0,3,3,AFC East,AFC East,AFC,AFC,Jets,3,0,7,7,Bills,0,12,10,0,-2,41.5,9,-4,15,24,1,1,0
20151115,10,Sunday,0,0,6,13,AFC West,AFC West,AFC,AFC,Broncos,0,0,0,13,Chiefs,10,9,3,7,-4.5,42,19,-3,19,23,1,1,-7
20151115,10,Sunday,0,0,6,6,NFC South,NFC East,NFC,NFC,Buccaneers,0,3,0,7,Cowboys,3,3,0,0,0,43,3,-7,9,7,0,1,0
20151115,10,Sunday,0,0,6,6,NFC East,AFC East,NFC,AFC,Eagles,16,0,0,3,Dolphins,3,10,0,7,-5.5,48,-3,4,29,10,0,0,0
20151115,10,Sunday,0,0,6,6,NFC East,AFC East,NFC,AFC,Giants,7,10,6,3,Patriots,7,3,7,10,7,53.5,-7,8,27,26,0,0,0
20151115,10,Sunday,0,0,6,13,NFC North,NFC North,NFC,NFC,Packers,3,0,0,13,Lions,0,3,6,9,-10.5,49,0,2,6,28,1,1,-7
20151115,10,Sunday,0,0,6,6,AFC West,NFC North,AFC,NFC,Raiders,0,14,0,0,Vikings,10,10,0,10,-3,44,6,10,34,10,0,0,0
20151115,10,Sunday,0,0,6,5,NFC West,NFC North,NFC,NFC,Rams,10,0,3,0,Bears,10,14,0,13,-7,42.5,14,10,34,16,0,1,1
20151115,10,Sunday,0,0,13,6,AFC North,AFC South,AFC,AFC,Ravens,0,14,0,6,Jaguars,7,3,3,9,-4.5,47,-4,6,24,18,0,1,7
20151115,10,Sunday,0,0,6,6,NFC East,NFC South,NFC,NFC,Redskins,14,13,10,10,Saints,7,7,0,0,1,51.5,-13,-20,41,20,0,1,0
20151115,10,Sunday,1,0,13,13,NFC West,NFC West,NFC,NFC,Seahawks,0,7,10,15,Cardinals,0,22,3,14,-3,43.5,15,-8,29,42,1,1,0
20151115,10,Sunday,0,0,6,9,AFC North,AFC North,AFC,AFC,Steelers,6,15,3,6,Browns,3,0,0,6,-6.5,42.5,-18,-3,24,15,1,1,-3
20151115,10,Sunday,0,0,6,6,AFC South,NFC South,AFC,NFC,Titans,7,3,0,0,Panthers,7,7,3,10,4.5,42.5,4,13,24,13,0,0,0
20151116,10,Monday,0,0,10,14,AFC North,AFC South,AFC,AFC,Bengals,3,3,0,0,Texans,0,3,0,7,-10,46.5,-3,7,9,7,0,1,-4
20151119,11,Thursday,0,0,3,3,AFC South,AFC South,AFC,AFC,Jaguars,0,6,3,10,Titans,3,3,7,0,-3,43,0,-6,12,20,1,1,0
20151122,11,Sunday,0,0,6,6,NFC North,AFC West,NFC,AFC,Bears,0,6,3,6,Broncos,7,3,0,7,2,41.5,4,-2,16,16,0,0,0
20151122,11,Sunday,1,0,6,5,NFC West,AFC North,NFC,AFC,Cardinals,0,7,21,6,Bengals,7,7,0,17,-4,48,7,-10,21,44,0,0,1
20151122,11,Sunday,0,0,12,6,AFC West,AFC West,AFC,AFC,Chargers,0,3,0,0,Chiefs,6,6,7,14,3,45.5,9,21,15,21,1,1,6
20151122,11,Sunday,0,0,6,6,AFC East,NFC East,AFC,NFC,Dolphins,0,7,7,0,Cowboys,0,14,0,10,1.5,46,7,3,21,17,0,0,0
20151122,11,Sunday,0,0,6,6,NFC East,NFC South,NFC,NFC,Eagles,7,7,0,3,Buccaneers,7,21,7,10,-6,45.5,14,14,42,20,0,1,0
20151122,11,Sunday,0,0,13,13,NFC South,AFC South,NFC,AFC,Falcons,7,7,7,0,Colts,0,7,7,10,-4,47.5,-7,10,21,24,0,0,0
20151122,11,Sunday,0,0,6,6,NFC North,AFC West,NFC,AFC,Lions,6,3,0,9,Raiders,0,0,13,0,0,48.5,-9,4,9,22,0,0,0
20151122,11,Sunday,0,0,6,6,NFC South,NFC East,NFC,NFC,Panthers,14,17,10,3,Redskins,14,0,0,2,-7.5,45.5,-17,-11,45,15,0,1,0
20151122,11,Sunday,0,0,6,6,AFC North,NFC West,AFC,NFC,Ravens,0,3,0,13,Rams,7,0,6,0,-2.5,41.5,4,-7,10,19,0,0,0
20151122,11,Sunday,0,0,6,13,NFC West,NFC West,NFC,NFC,Seahawks,13,7,3,6,Fortyniners,0,7,6,0,-14,40,-13,-3,27,15,1,1,-7
20151122,11,Sunday,0,0,5,9,AFC South,AFC East,AFC,AFC,Texans,0,10,14,0,Jets,0,3,7,7,3,41,-7,0,13,28,0,1,-4
20151122,11,Sunday,0,0,6,6,NFC North,NFC North,NFC,NFC,Vikings,6,0,7,0,Packers,6,10,3,11,0,44,10,7,22,21,1,1,0
20151123,11,Monday,0,0,7,10,AFC East,AFC East,AFC,AFC,Patriots,3,7,10,0,Bills,0,3,7,3,-7,47.5,-7,0,13,20,1,1,-3
20151126,12,Thursday,0,0,3,3,NFC East,NFC South,NFC,NFC,Cowboys,3,0,3,8,Panthers,10,13,7,3,0,44.5,20,-1,26,21,0,1,0
